path,url,ukuran
foto-upload/toko1/jibbitz/JB-0000049.png,https://ganci.whatslink.group/foto-upload/toko1/jibbitz/JB-0000049.png,195010
foto-upload/toko1/jibbitz/JB-0000050.png,https://ganci.whatslink.group/foto-upload/toko1/jibbitz/JB-0000050.png,197643
foto-upload/toko1/jibbitz/JB-0000051.png,https://ganci.whatslink.group/foto-upload/toko1/jibbitz/JB-0000051.png,257007
foto-upload/toko1/jibbitz/JB-0000052.png,https://ganci.whatslink.group/foto-upload/toko1/jibbitz/JB-0000052.png,274194
foto-upload/toko1/jibbitz/JB-0000053.png,https://ganci.whatslink.group/foto-upload/toko1/jibbitz/JB-0000053.png,287878
foto-upload/toko1/jibbitz/JB-0000054.png,https://ganci.whatslink.group/foto-upload/toko1/jibbitz/JB-0000054.png,257412
foto-upload/toko1/jibbitz/JB-0000055.png,https://ganci.whatslink.group/foto-upload/toko1/jibbitz/JB-0000055.png,276351
foto-upload/toko1/jibbitz/JB-0000056.png,https://ganci.whatslink.group/foto-upload/toko1/jibbitz/JB-0000056.png,275376
foto-upload/toko1/jibbitz/JB-0000057.png,https://ganci.whatslink.group/foto-upload/toko1/jibbitz/JB-0000057.png,281306
foto-upload/toko1/jibbitz/JB-0000058.png,https://ganci.whatslink.group/foto-upload/toko1/jibbitz/JB-0000058.png,212854
foto-upload/toko1/jibbitz/JB-0000059.png,https://ganci.whatslink.group/foto-upload/toko1/jibbitz/JB-0000059.png,221180
foto-upload/toko1/jibbitz/JB-0000060.png,https://ganci.whatslink.group/foto-upload/toko1/jibbitz/JB-0000060.png,219893
foto-upload/toko1/jibbitz/JB-0000061.png,https://ganci.whatslink.group/foto-upload/toko1/jibbitz/JB-0000061.png,245075
foto-upload/toko1/jibbitz/JB-0000062.png,https://ganci.whatslink.group/foto-upload/toko1/jibbitz/JB-0000062.png,225586
foto-upload/toko1/jibbitz/JB-0000063.png,https://ganci.whatslink.group/foto-upload/toko1/jibbitz/JB-0000063.png,228269
foto-upload/toko1/jibbitz/JB-0000064.png,https://ganci.whatslink.group/foto-upload/toko1/jibbitz/JB-0000064.png,233493
foto-upload/toko1/jibbitz/JB-0000065.png,https://ganci.whatslink.group/foto-upload/toko1/jibbitz/JB-0000065.png,175878
foto-upload/toko1/jibbitz/JB-0000066.png,https://ganci.whatslink.group/foto-upload/toko1/jibbitz/JB-0000066.png,185883
foto-upload/toko1/jibbitz/JB-0000067.png,https://ganci.whatslink.group/foto-upload/toko1/jibbitz/JB-0000067.png,190932
foto-upload/toko1/jibbitz/JB-0000068.png,https://ganci.whatslink.group/foto-upload/toko1/jibbitz/JB-0000068.png,182034
foto-upload/toko1/jibbitz/JB-0000069.png,https://ganci.whatslink.group/foto-upload/toko1/jibbitz/JB-0000069.png,188611
foto-upload/toko1/jibbitz/JB-0000070.png,https://ganci.whatslink.group/foto-upload/toko1/jibbitz/JB-0000070.png,192975
foto-upload/toko1/jibbitz/JB-0000071.png,https://ganci.whatslink.group/foto-upload/toko1/jibbitz/JB-0000071.png,181031
foto-upload/toko1/jibbitz/JB-0000072.png,https://ganci.whatslink.group/foto-upload/toko1/jibbitz/JB-0000072.png,175533
foto-upload/toko1/jibbitz/JB-0000073.png,https://ganci.whatslink.group/foto-upload/toko1/jibbitz/JB-0000073.png,167449
foto-upload/toko1/jibbitz/JB-0000074.png,https://ganci.whatslink.group/foto-upload/toko1/jibbitz/JB-0000074.png,167866
foto-upload/toko1/jibbitz/JB-0000075.png,https://ganci.whatslink.group/foto-upload/toko1/jibbitz/JB-0000075.png,177266
foto-upload/toko1/jibbitz/JB-0000076.png,https://ganci.whatslink.group/foto-upload/toko1/jibbitz/JB-0000076.png,168626
foto-upload/toko1/jibbitz/JB-0000077.png,https://ganci.whatslink.group/foto-upload/toko1/jibbitz/JB-0000077.png,171628
foto-upload/toko1/jibbitz/JB-0000078.png,https://ganci.whatslink.group/foto-upload/toko1/jibbitz/JB-0000078.png,176141
foto-upload/toko1/jibbitz/JB-0000079.png,https://ganci.whatslink.group/foto-upload/toko1/jibbitz/JB-0000079.png,229019
foto-upload/toko1/jibbitz/JB-0000080.png,https://ganci.whatslink.group/foto-upload/toko1/jibbitz/JB-0000080.png,245219
foto-upload/toko1/jibbitz/JB-0000081.png,https://ganci.whatslink.group/foto-upload/toko1/jibbitz/JB-0000081.png,297239
