nama_toko,folder_toko,jenis,kunci,tipe,file_lokal,url,ukuran_byte
Hangs on You,toko3,JIBBITZ,JB-0000025,varian,E:\Project\Mass upload shopee\foto-upload\toko3\jibbitz\JB-0000025.png,https://cdn.jsdelivr.net/gh/dennypa77/mass-upload@main/foto-upload/toko3/jibbitz/JB-0000025.png,306003
Hangs on You,toko3,JIBBITZ,JB-0000026,varian,E:\Project\Mass upload shopee\foto-upload\toko3\jibbitz\JB-0000026.png,https://cdn.jsdelivr.net/gh/dennypa77/mass-upload@main/foto-upload/toko3/jibbitz/JB-0000026.png,255246
Hangs on You,toko3,JIBBITZ,JB-0000027,varian,E:\Project\Mass upload shopee\foto-upload\toko3\jibbitz\JB-0000027.png,https://cdn.jsdelivr.net/gh/dennypa77/mass-upload@main/foto-upload/toko3/jibbitz/JB-0000027.png,267494
Hangs on You,toko3,JIBBITZ,JB-0000028,varian,E:\Project\Mass upload shopee\foto-upload\toko3\jibbitz\JB-0000028.png,https://cdn.jsdelivr.net/gh/dennypa77/mass-upload@main/foto-upload/toko3/jibbitz/JB-0000028.png,291458
Hangs on You,toko3,JIBBITZ,JB-0000029,varian,E:\Project\Mass upload shopee\foto-upload\toko3\jibbitz\JB-0000029.png,https://cdn.jsdelivr.net/gh/dennypa77/mass-upload@main/foto-upload/toko3/jibbitz/JB-0000029.png,292906
Hangs on You,toko3,JIBBITZ,JB-0000030,varian,E:\Project\Mass upload shopee\foto-upload\toko3\jibbitz\JB-0000030.png,https://cdn.jsdelivr.net/gh/dennypa77/mass-upload@main/foto-upload/toko3/jibbitz/JB-0000030.png,296629
Hangs on You,toko3,JIBBITZ,JB-0000031,varian,E:\Project\Mass upload shopee\foto-upload\toko3\jibbitz\JB-0000031.png,https://cdn.jsdelivr.net/gh/dennypa77/mass-upload@main/foto-upload/toko3/jibbitz/JB-0000031.png,248152
Hangs on You,toko3,JIBBITZ,JB-0000032,varian,E:\Project\Mass upload shopee\foto-upload\toko3\jibbitz\JB-0000032.png,https://cdn.jsdelivr.net/gh/dennypa77/mass-upload@main/foto-upload/toko3/jibbitz/JB-0000032.png,284340
Hangs on You,toko3,JIBBITZ,JB-0000033,varian,E:\Project\Mass upload shopee\foto-upload\toko3\jibbitz\JB-0000033.png,https://cdn.jsdelivr.net/gh/dennypa77/mass-upload@main/foto-upload/toko3/jibbitz/JB-0000033.png,305178
Hangs on You,toko3,JIBBITZ,JB-0000034,varian,E:\Project\Mass upload shopee\foto-upload\toko3\jibbitz\JB-0000034.png,https://cdn.jsdelivr.net/gh/dennypa77/mass-upload@main/foto-upload/toko3/jibbitz/JB-0000034.png,216529
Hangs on You,toko3,JIBBITZ,JB-0000035,varian,E:\Project\Mass upload shopee\foto-upload\toko3\jibbitz\JB-0000035.png,https://cdn.jsdelivr.net/gh/dennypa77/mass-upload@main/foto-upload/toko3/jibbitz/JB-0000035.png,262732
Hangs on You,toko3,JIBBITZ,JB-0000036,varian,E:\Project\Mass upload shopee\foto-upload\toko3\jibbitz\JB-0000036.png,https://cdn.jsdelivr.net/gh/dennypa77/mass-upload@main/foto-upload/toko3/jibbitz/JB-0000036.png,253719
Hangs on You,toko3,JIBBITZ,JB-0000037,varian,E:\Project\Mass upload shopee\foto-upload\toko3\jibbitz\JB-0000037.png,https://cdn.jsdelivr.net/gh/dennypa77/mass-upload@main/foto-upload/toko3/jibbitz/JB-0000037.png,275474
Hangs on You,toko3,JIBBITZ,JB-0000038,varian,E:\Project\Mass upload shopee\foto-upload\toko3\jibbitz\JB-0000038.png,https://cdn.jsdelivr.net/gh/dennypa77/mass-upload@main/foto-upload/toko3/jibbitz/JB-0000038.png,249647
Hangs on You,toko3,JIBBITZ,JB-0000039,varian,E:\Project\Mass upload shopee\foto-upload\toko3\jibbitz\JB-0000039.png,https://cdn.jsdelivr.net/gh/dennypa77/mass-upload@main/foto-upload/toko3/jibbitz/JB-0000039.png,262278
Hangs on You,toko3,JIBBITZ,JB-0000040,varian,E:\Project\Mass upload shopee\foto-upload\toko3\jibbitz\JB-0000040.png,https://cdn.jsdelivr.net/gh/dennypa77/mass-upload@main/foto-upload/toko3/jibbitz/JB-0000040.png,250597
